sensor_id	date	time	temperature	pressure	humidity	pressure_at_sealevel
31437	2024-03-21	15:24:58	5.56	100758.63	81.09	101780.32
25765	2024-03-21	16:34:25	6.2	NA	99.9	NA
31437	2024-03-21	16:32:59	4.57	100729.25	84.4	101754.3
25765	2024-03-21	17:25:47	5.5	NA	99.9	NA
31437	2024-03-21	17:26:23	3.77	100731.72	86.58	101759.77
25765	2024-03-21	18:29:09	5	NA	99.9	NA
31437	2024-03-21	18:29:39	3.18	100695.16	90.38	101725.04
25765	2024-03-21	19:22:59	4.8	NA	99.9	NA
31437	2024-03-21	19:23:05	3.15	100652.31	92.88	101681.86
25765	2024-03-21	20:23:55	4.7	NA	99.9	NA
31437	2024-03-21	20:23:47	2.58	100543.97	93.79	101574.55
25765	2024-03-21	21:23:38	4.5	NA	99.9	NA
31437	2024-03-21	21:23:19	3.01	100428.78	95.98	101456.57
25765	2024-03-21	22:27:54	4.8	NA	99.9	NA
31437	2024-03-21	22:27:43	3.24	100313	100	101338.74
25765	2024-03-22	06:29:30	6.8	NA	99.9	NA
31437	2024-03-22	06:28:41	5.43	99485.63	100	100494.88
25765	2024-03-22	07:23:04	6.9	NA	99.9	NA
31437	2024-03-22	07:24:32	5.62	99440.97	100	100449.08
25765	2024-03-22	08:28:46	7.3	NA	99.9	NA
31437	2024-03-22	08:27:45	5.93	99407.34	100	100413.98
25765	2024-03-22	09:24:44	7.7	NA	99.9	NA
31437	2024-03-22	09:26:01	6.64	99416.38	100	100420.55
25765	2024-03-22	10:30:50	8.6	NA	99.9	NA
31437	2024-03-22	10:29:24	7.78	99397.06	100	100396.95
25765	2024-03-22	11:22:47	9.3	NA	99.9	NA
31437	2024-03-22	11:23:32	8.48	99348.63	100	100345.53
25765	2024-03-22	12:40:52	10.9	NA	99.9	NA
31437	2024-03-22	12:41:29	9.49	99303.66	92.67	100296.54
25765	2024-03-22	13:24:45	10.8	NA	99.9	NA
31437	2024-03-22	13:22:48	9.33	99293.59	83.07	100286.93
25765	2024-03-22	14:28:16	10	NA	99.9	NA
31437	2024-03-22	14:28:40	8.44	99235.78	83.64	100231.69
25765	2024-03-22	15:26:40	9.2	NA	99.9	NA
31437	2024-03-22	15:24:44	7.78	99226.53	81.41	100224.7
25765	2024-03-22	16:30:11	8.9	NA	99.9	NA
31437	2024-03-22	16:30:30	6.24	99229.34	83.4	100233.06
